"DATE__C","STATE__C","CURED__C","DEATHS__C","CONFIRMED__C","ERROR"
"2020-03-09T00:00:00Z","Jammu and Kashmir","0","0","1","Deaths: invalid number: 0"
"2020-03-09T00:00:00Z","Uttar Pradesh","0","0","7","Deaths: invalid number: 0"
"2020-03-09T00:00:00Z","Haryana","0","0","2","Deaths: invalid number: 0"
"2020-03-09T00:00:00Z","Delhi","0","0","4","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Uttar Pradesh","0","0","7","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Ladakh","0","0","2","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Delhi","0","0","4","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Haryana","0","0","2","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Karnataka","0","0","4","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Kerala","3","0","15","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Maharashtra","0","0","5","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Punjab","0","0","1","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Rajasthan","0","0","15","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Tamil Nadu","0","0","1","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Telengana","0","0","1","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Jammu and Kashmir","0","0","1","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Maharashtra","0","0","2","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Delhi","0","0","5","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Haryana","0","0","14","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Kerala","3","0","17","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Rajasthan","0","0","3","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Telengana","0","0","1","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Uttar Pradesh","0","0","9","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Ladakh","0","0","2","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Tamil Nadu","0","0","1","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Jammu and Kashmir","0","0","1","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Punjab","0","0","1","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Karnataka","0","0","4","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Delhi","0","0","6","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Haryana","0","0","14","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Kerala","3","0","17","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Rajasthan","0","0","3","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Telengana","0","0","1","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Uttar Pradesh","0","0","11","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Ladakh","0","0","3","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Tamil Nadu","0","0","1","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Jammu and Kashmir","0","0","1","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Punjab","0","0","1","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Karnataka","0","0","4","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Maharashtra","0","0","11","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Andhra Pradesh","0","0","1","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Delhi","0","0","6","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Haryana","0","0","14","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Kerala","3","0","19","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Rajasthan","0","0","3","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Telengana","0","0","1","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Uttar Pradesh","0","0","11","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Ladakh","0","0","3","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Tamil Nadu","0","0","1","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Jammu and Kashmir","0","0","1","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Punjab","0","0","1","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Karnataka","0","1","6","Deaths: invalid number: 1"
"2020-03-13T00:00:00Z","Maharashtra","0","0","14","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Andhra Pradesh","0","0","1","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Delhi","1","1","7","Deaths: invalid number: 1"
"2020-03-14T00:00:00Z","Haryana","0","0","14","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Kerala","3","0","19","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Rajasthan","1","0","3","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Telengana","0","0","1","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Uttar Pradesh","5","0","12","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Ladakh","0","0","3","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Tamil Nadu","0","0","1","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Jammu and Kashmir","0","0","2","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Punjab","0","0","1","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Karnataka","0","1","6","Deaths: invalid number: 1"
"2020-03-14T00:00:00Z","Maharashtra","0","0","14","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Andhra Pradesh","0","0","1","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Andhra Pradesh","0","0","1","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Delhi","2","1","7","Deaths: invalid number: 1"
"2020-03-15T00:00:00Z","Haryana","0","0","14","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Karnataka","0","1","6","Deaths: invalid number: 1"
"2020-03-15T00:00:00Z","Kerala","3","0","22","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Maharashtra","0","0","32","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Punjab","0","0","1","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Rajasthan","3","0","4","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Tamil Nadu","0","0","1","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Telengana","1","0","3","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Jammu and Kashmir","0","0","2","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Ladakh","0","0","3","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Uttar Pradesh","4","0","13","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Uttarakhand","0","0","1","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Andhra Pradesh","0","0","1","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Delhi","2","1","7","Deaths: invalid number: 1"
"2020-03-16T00:00:00Z","Haryana","0","0","14","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Karnataka","0","1","6","Deaths: invalid number: 1"
"2020-03-16T00:00:00Z","Kerala","3","0","23","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Maharashtra","0","0","32","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Odisha","0","0","1","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Punjab","0","0","1","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Rajasthan","3","0","4","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Tamil Nadu","0","0","1","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Telengana","1","0","3","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Jammu and Kashmir","0","0","3","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Ladakh","0","0","4","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Uttar Pradesh","4","0","13","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Uttarakhand","0","0","1","Deaths: invalid number: 0"
"2020-03-17T00:00:00Z","Andhra Pradesh","0","0","1","Deaths: invalid number: 0"
"2020-03-17T00:00:00Z","Delhi","2","1","8","Deaths: invalid number: 1"
"2020-03-17T00:00:00Z","Haryana","0","0","15","Deaths: invalid number: 0"
"2020-03-17T00:00:00Z","Karnataka","0","1","11","Deaths: invalid number: 1"
"2020-03-17T00:00:00Z","Kerala","3","0","26","Deaths: invalid number: 0"
"2020-03-17T00:00:00Z","Maharashtra","0","1","39","Deaths: invalid number: 1"
"2020-03-17T00:00:00Z","Odisha","0","0","1","Deaths: invalid number: 0"
"2020-03-17T00:00:00Z","Punjab","0","0","1","Deaths: invalid number: 0"
"2020-03-17T00:00:00Z","Rajasthan","3","0","4","Deaths: invalid number: 0"
"2020-03-17T00:00:00Z","Tamil Nadu","0","0","1","Deaths: invalid number: 0"
"2020-03-17T00:00:00Z","Telengana","1","0","5","Deaths: invalid number: 0"
"2020-03-17T00:00:00Z","Jammu and Kashmir","0","0","3","Deaths: invalid number: 0"
"2020-03-17T00:00:00Z","Ladakh","0","0","6","Deaths: invalid number: 0"
"2020-03-17T00:00:00Z","Uttar Pradesh","5","0","15","Deaths: invalid number: 0"
"2020-03-17T00:00:00Z","Uttarakhand","0","0","1","Deaths: invalid number: 0"
"2020-03-18T00:00:00Z","Andhra Pradesh","0","0","1","Deaths: invalid number: 0"
"2020-03-18T00:00:00Z","Delhi","2","1","10","Deaths: invalid number: 1"
"2020-03-18T00:00:00Z","Haryana","0","0","17","Deaths: invalid number: 0"
"2020-03-18T00:00:00Z","Karnataka","0","1","11","Deaths: invalid number: 1"
"2020-03-18T00:00:00Z","Kerala","3","0","27","Deaths: invalid number: 0"
"2020-03-18T00:00:00Z","Maharashtra","0","1","42","Deaths: invalid number: 1"
"2020-03-18T00:00:00Z","Odisha","0","0","1","Deaths: invalid number: 0"
"2020-03-18T00:00:00Z","Puducherry","0","0","1","Deaths: invalid number: 0"
"2020-03-18T00:00:00Z","Punjab","0","0","1","Deaths: invalid number: 0"
"2020-03-18T00:00:00Z","Rajasthan","3","0","4","Deaths: invalid number: 0"
"2020-03-18T00:00:00Z","Tamil Nadu","0","0","1","Deaths: invalid number: 0"
"2020-03-18T00:00:00Z","Telengana","1","0","6","Deaths: invalid number: 0"
"2020-03-18T00:00:00Z","Jammu and Kashmir","0","0","3","Deaths: invalid number: 0"
"2020-03-18T00:00:00Z","Ladakh","0","0","8","Deaths: invalid number: 0"
"2020-03-18T00:00:00Z","Uttar Pradesh","5","0","16","Deaths: invalid number: 0"
"2020-03-18T00:00:00Z","Uttarakhand","0","0","1","Deaths: invalid number: 0"
"2020-03-18T00:00:00Z","West Bengal","0","0","1","Deaths: invalid number: 0"
"2020-03-19T00:00:00Z","Andhra Pradesh","0","0","2","Deaths: invalid number: 0"
"2020-03-19T00:00:00Z","Chhattisgarh","0","0","1","Deaths: invalid number: 0"
"2020-03-19T00:00:00Z","Delhi","3","1","12","Deaths: invalid number: 1"
"2020-03-19T00:00:00Z","Haryana","0","0","17","Deaths: invalid number: 0"
"2020-03-19T00:00:00Z","Karnataka","0","1","14","Deaths: invalid number: 1"
"2020-03-19T00:00:00Z","Kerala","3","0","27","Deaths: invalid number: 0"
"2020-03-19T00:00:00Z","Maharashtra","0","1","47","Deaths: invalid number: 1"
"2020-03-19T00:00:00Z","Odisha","0","0","1","Deaths: invalid number: 0"
"2020-03-19T00:00:00Z","Puducherry","0","0","1","Deaths: invalid number: 0"
"2020-03-19T00:00:00Z","Punjab","0","1","2","Deaths: invalid number: 1"
"2020-03-19T00:00:00Z","Rajasthan","3","0","7","Deaths: invalid number: 0"
"2020-03-19T00:00:00Z","Tamil Nadu","1","0","2","Deaths: invalid number: 0"
"2020-03-19T00:00:00Z","Telengana","1","0","6","Deaths: invalid number: 0"
"2020-03-19T00:00:00Z","Chandigarh","0","0","1","Deaths: invalid number: 0"
"2020-03-19T00:00:00Z","Jammu and Kashmir","0","0","4","Deaths: invalid number: 0"
"2020-03-19T00:00:00Z","Ladakh","0","0","8","Deaths: invalid number: 0"
"2020-03-19T00:00:00Z","Uttar Pradesh","9","0","19","Deaths: invalid number: 0"
"2020-03-19T00:00:00Z","Uttarakhand","0","0","1","Deaths: invalid number: 0"
"2020-03-19T00:00:00Z","West Bengal","0","0","1","Deaths: invalid number: 0"
"2020-03-20T00:00:00Z","Andhra Pradesh","0","0","3","Deaths: invalid number: 0"
"2020-03-20T00:00:00Z","Chhattisgarh","0","0","1","Deaths: invalid number: 0"
"2020-03-20T00:00:00Z","Delhi","5","1","17","Deaths: invalid number: 1"
"2020-03-20T00:00:00Z","Gujarat","0","0","5","Deaths: invalid number: 0"
"2020-03-20T00:00:00Z","Haryana","0","0","17","Deaths: invalid number: 0"
"2020-03-20T00:00:00Z","Karnataka","1","1","15","Deaths: invalid number: 1"
"2020-03-20T00:00:00Z","Kerala","3","0","28","Deaths: invalid number: 0"
"2020-03-20T00:00:00Z","Maharashtra","0","1","52","Deaths: invalid number: 1"
"2020-03-20T00:00:00Z","Odisha","0","0","2","Deaths: invalid number: 0"
"2020-03-20T00:00:00Z","Puducherry","0","0","1","Deaths: invalid number: 0"
"2020-03-20T00:00:00Z","Punjab","0","1","2","Deaths: invalid number: 1"
"2020-03-20T00:00:00Z","Rajasthan","3","0","17","Deaths: invalid number: 0"
"2020-03-20T00:00:00Z","Tamil Nadu","1","0","3","Deaths: invalid number: 0"
"2020-03-20T00:00:00Z","Telengana","1","0","17","Deaths: invalid number: 0"
"2020-03-20T00:00:00Z","Chandigarh","0","0","1","Deaths: invalid number: 0"
"2020-03-20T00:00:00Z","Jammu and Kashmir","0","0","4","Deaths: invalid number: 0"
"2020-03-20T00:00:00Z","Ladakh","0","0","10","Deaths: invalid number: 0"
"2020-03-20T00:00:00Z","Uttar Pradesh","9","0","23","Deaths: invalid number: 0"
"2020-03-20T00:00:00Z","Uttarakhand","0","0","3","Deaths: invalid number: 0"
"2020-03-20T00:00:00Z","West Bengal","0","0","2","Deaths: invalid number: 0"
"2020-03-21T00:00:00Z","Andhra Pradesh","0","0","3","Deaths: invalid number: 0"
"2020-03-21T00:00:00Z","Chhattisgarh","0","0","1","Deaths: invalid number: 0"
"2020-03-21T00:00:00Z","Delhi","5","1","26","Deaths: invalid number: 1"
"2020-03-21T00:00:00Z","Gujarat","0","0","7","Deaths: invalid number: 0"
"2020-03-21T00:00:00Z","Haryana","0","0","17","Deaths: invalid number: 0"
"2020-03-21T00:00:00Z","Himachal Pradesh","0","0","2","Deaths: invalid number: 0"
"2020-03-21T00:00:00Z","Karnataka","1","1","15","Deaths: invalid number: 1"
"2020-03-21T00:00:00Z","Kerala","3","0","40","Deaths: invalid number: 0"
"2020-03-21T00:00:00Z","Madhya Pradesh","0","0","4","Deaths: invalid number: 0"
"2020-03-21T00:00:00Z","Maharashtra","0","1","63","Deaths: invalid number: 1"
"2020-03-21T00:00:00Z","Odisha","0","0","2","Deaths: invalid number: 0"
"2020-03-21T00:00:00Z","Puducherry","0","0","1","Deaths: invalid number: 0"
"2020-03-21T00:00:00Z","Punjab","0","1","13","Deaths: invalid number: 1"
"2020-03-21T00:00:00Z","Rajasthan","3","0","17","Deaths: invalid number: 0"
"2020-03-21T00:00:00Z","Tamil Nadu","1","0","3","Deaths: invalid number: 0"
"2020-03-21T00:00:00Z","Telengana","1","0","21","Deaths: invalid number: 0"
"2020-03-21T00:00:00Z","Chandigarh","0","0","1","Deaths: invalid number: 0"
"2020-03-21T00:00:00Z","Jammu and Kashmir","0","0","4","Deaths: invalid number: 0"
"2020-03-21T00:00:00Z","Ladakh","0","0","13","Deaths: invalid number: 0"
"2020-03-21T00:00:00Z","Uttar Pradesh","9","0","24","Deaths: invalid number: 0"
"2020-03-21T00:00:00Z","Uttarakhand","0","0","3","Deaths: invalid number: 0"
"2020-03-21T00:00:00Z","West Bengal","0","0","3","Deaths: invalid number: 0"
"2020-03-22T00:00:00Z","Andhra Pradesh","0","0","5","Deaths: invalid number: 0"
"2020-03-22T00:00:00Z","Bihar","0","1","2","Deaths: invalid number: 1"
"2020-03-22T00:00:00Z","Chhattisgarh","0","0","1","Deaths: invalid number: 0"
"2020-03-22T00:00:00Z","Delhi","5","1","29","Deaths: invalid number: 1"
"2020-03-22T00:00:00Z","Gujarat","0","1","18","Deaths: invalid number: 1"
"2020-03-22T00:00:00Z","Haryana","0","0","21","Deaths: invalid number: 0"
"2020-03-22T00:00:00Z","Himachal Pradesh","0","0","2","Deaths: invalid number: 0"
"2020-03-22T00:00:00Z","Karnataka","2","1","26","Deaths: invalid number: 1"
"2020-03-22T00:00:00Z","Kerala","3","0","52","Deaths: invalid number: 0"
"2020-03-22T00:00:00Z","Madhya Pradesh","0","0","4","Deaths: invalid number: 0"
"2020-03-22T00:00:00Z","Maharashtra","0","2","67","Deaths: invalid number: 2"
"2020-03-22T00:00:00Z","Odisha","0","0","2","Deaths: invalid number: 0"
"2020-03-22T00:00:00Z","Puducherry","0","0","1","Deaths: invalid number: 0"
"2020-03-22T00:00:00Z","Punjab","0","1","21","Deaths: invalid number: 1"
"2020-03-22T00:00:00Z","Rajasthan","3","0","24","Deaths: invalid number: 0"
"2020-03-22T00:00:00Z","Tamil Nadu","1","0","7","Deaths: invalid number: 0"
"2020-03-22T00:00:00Z","Telengana","1","0","22","Deaths: invalid number: 0"
"2020-03-22T00:00:00Z","Chandigarh","0","0","5","Deaths: invalid number: 0"
"2020-03-22T00:00:00Z","Jammu and Kashmir","0","0","4","Deaths: invalid number: 0"
"2020-03-22T00:00:00Z","Ladakh","0","0","13","Deaths: invalid number: 0"
"2020-03-22T00:00:00Z","Uttar Pradesh","9","0","27","Deaths: invalid number: 0"
"2020-03-22T00:00:00Z","Uttarakhand","0","0","3","Deaths: invalid number: 0"
"2020-03-22T00:00:00Z","West Bengal","0","0","4","Deaths: invalid number: 0"
"2020-03-23T00:00:00Z","Andhra Pradesh","0","0","7","Deaths: invalid number: 0"
"2020-03-23T00:00:00Z","Bihar","0","1","2","Deaths: invalid number: 1"
"2020-03-23T00:00:00Z","Chhattisgarh","0","0","1","Deaths: invalid number: 0"
"2020-03-23T00:00:00Z","Delhi","5","1","29","Deaths: invalid number: 1"
"2020-03-23T00:00:00Z","Gujarat","0","1","29","Deaths: invalid number: 1"
"2020-03-23T00:00:00Z","Haryana","0","0","26","Deaths: invalid number: 0"
"2020-03-23T00:00:00Z","Himachal Pradesh","0","0","2","Deaths: invalid number: 0"
"2020-03-23T00:00:00Z","Karnataka","2","1","33","Deaths: invalid number: 1"
"2020-03-23T00:00:00Z","Kerala","3","0","67","Deaths: invalid number: 0"
"2020-03-23T00:00:00Z","Madhya Pradesh","0","0","6","Deaths: invalid number: 0"
"2020-03-23T00:00:00Z","Maharashtra","0","2","74","Deaths: invalid number: 2"
"2020-03-23T00:00:00Z","Odisha","0","0","2","Deaths: invalid number: 0"
"2020-03-23T00:00:00Z","Puducherry","0","0","1","Deaths: invalid number: 0"
"2020-03-23T00:00:00Z","Punjab","0","1","21","Deaths: invalid number: 1"
"2020-03-23T00:00:00Z","Rajasthan","3","0","28","Deaths: invalid number: 0"
"2020-03-23T00:00:00Z","Tamil Nadu","1","0","9","Deaths: invalid number: 0"
"2020-03-23T00:00:00Z","Telengana","1","0","32","Deaths: invalid number: 0"
"2020-03-23T00:00:00Z","Chandigarh","0","0","6","Deaths: invalid number: 0"
"2020-03-23T00:00:00Z","Jammu and Kashmir","0","0","4","Deaths: invalid number: 0"
"2020-03-23T00:00:00Z","Ladakh","0","0","13","Deaths: invalid number: 0"
"2020-03-23T00:00:00Z","Uttar Pradesh","9","0","31","Deaths: invalid number: 0"
"2020-03-23T00:00:00Z","Uttarakhand","0","0","3","Deaths: invalid number: 0"
"2020-03-23T00:00:00Z","West Bengal","0","0","7","Deaths: invalid number: 0"
"2020-03-24T00:00:00Z","Andhra Pradesh","0","0","8","Deaths: invalid number: 0"
"2020-03-24T00:00:00Z","Bihar","0","1","3","Deaths: invalid number: 1"
"2020-03-24T00:00:00Z","Chhattisgarh","0","0","1","Deaths: invalid number: 0"
"2020-03-24T00:00:00Z","Delhi","6","1","30","Deaths: invalid number: 1"
"2020-03-24T00:00:00Z","Gujarat","0","1","33","Deaths: invalid number: 1"
"2020-03-24T00:00:00Z","Haryana","11","0","28","Deaths: invalid number: 0"
"2020-03-24T00:00:00Z","Himachal Pradesh","0","1","3","Deaths: invalid number: 1"
"2020-03-24T00:00:00Z","Karnataka","3","1","37","Deaths: invalid number: 1"
"2020-03-24T00:00:00Z","Kerala","4","0","95","Deaths: invalid number: 0"
"2020-03-24T00:00:00Z","Madhya Pradesh","0","0","7","Deaths: invalid number: 0"
